index,paper_run_id,event_time_utc,entered_at_utc,settled_at_utc,market_start_utc,market_slug,selected_outcome,entry_price,stake_usd,size_shares,settlement_value_usd,pnl_usd,cumulative_pnl_usd
61,d4e504e5-ff9b-4053-8f6c-5ad5300141c6,2026-07-06 13:25:13,2026-07-06 13:14:37,2026-07-06 13:25:13,2026-07-06 13:15:00,eth-updown-5m-1783343700,Up,0.51046066,6.00929995,11.77230769,11.77230769,5.76300774,39.24707075
62,c1f8406d-3bbe-41db-adbe-2319d71859e6,2026-07-06 13:30:06,2026-07-06 13:19:37,2026-07-06 13:30:06,2026-07-06 13:20:00,eth-updown-5m-1783344000,Up,0.54,6.0093,11.12833333,11.12833333,5.11903333,44.36610408
63,bae885d7-a8b6-4060-a62a-b2147ae68b97,2026-07-06 13:34:44,2026-07-06 13:24:38,2026-07-06 13:34:44,2026-07-06 13:25:00,eth-updown-5m-1783344300,Up,0.51,6.0093,11.78294118,0,-6.0093,38.35680408
64,2753791d-851e-4c89-b466-8d4b9e04abda,2026-07-06 13:39:41,2026-07-06 13:29:36,2026-07-06 13:39:41,2026-07-06 13:30:00,eth-updown-5m-1783344600,Up,0.53,6.0093,11.33830189,11.33830189,5.32900189,43.68580597
65,0464e125-8c5c-46ec-a299-986c2e9b9b2d,2026-07-06 13:45:03,2026-07-06 13:34:37,2026-07-06 13:45:03,2026-07-06 13:35:00,eth-updown-5m-1783344900,Up,0.51,6.0093,11.78294118,0,-6.0093,37.67650597
66,ca705137-e726-4376-83ae-4691792d7ef5,2026-07-06 13:49:56,2026-07-06 13:39:38,2026-07-06 13:49:56,2026-07-06 13:40:00,eth-updown-5m-1783345200,Up,0.54,6.0093,11.12833333,11.12833333,5.11903333,42.7955393
67,e9224ed3-f4ef-477a-9466-10e3eb1589e9,2026-07-06 13:54:59,2026-07-06 13:44:36,2026-07-06 13:54:59,2026-07-06 13:45:00,eth-updown-5m-1783345500,Up,0.5,6.0093,12.0186,12.0186,6.0093,48.8048393
68,d27951a2-a47a-4b66-b962-575c82672c03,2026-07-06 13:59:57,2026-07-06 13:49:37,2026-07-06 13:59:57,2026-07-06 13:50:00,eth-updown-5m-1783345800,Up,0.49,6.0093,12.26387755,12.26387755,6.25457755,55.05941685
69,743cf507-bef3-4c40-8328-59266f94e719,2026-07-06 14:03:42,2026-07-06 13:54:37,2026-07-06 14:03:42,2026-07-06 13:55:00,eth-updown-5m-1783346100,Up,0.52,6.0093,11.55634615,0,-6.0093,49.05011685
70,765c6915-85d9-4f59-b09c-e8526b60c6c7,2026-07-06 14:09:54,2026-07-06 13:59:36,2026-07-06 14:09:54,2026-07-06 14:00:00,eth-updown-5m-1783346400,Up,0.5,6.0093,12.0186,12.0186,6.0093,55.05941685
71,dfea46fb-d8ce-4be2-95bf-51504fbbfe46,2026-07-06 14:14:56,2026-07-06 14:04:37,2026-07-06 14:14:56,2026-07-06 14:05:00,eth-updown-5m-1783346700,Up,0.51,6.0093,11.78294118,11.78294118,5.77364118,60.83305803
72,8aea669f-3000-4dad-93aa-fbc3fe89c03f,2026-07-06 14:19:48,2026-07-06 14:09:37,2026-07-06 14:19:48,2026-07-06 14:10:00,eth-updown-5m-1783347000,Up,0.50165207,6.00929998,11.97901961,11.97901961,5.96971963,66.80277766
73,58744f70-9a10-4d38-848a-074467b8d1a3,2026-07-06 14:24:51,2026-07-06 14:14:37,2026-07-06 14:24:51,2026-07-06 14:15:00,eth-updown-5m-1783347300,Up,0.5,6.0093,12.0186,0,-6.0093,60.79347766
74,0792d260-cfac-474a-8b2f-31db21118860,2026-07-06 14:29:39,2026-07-06 14:19:37,2026-07-06 14:29:39,2026-07-06 14:20:00,eth-updown-5m-1783347600,Up,0.51,6.0093,11.78294118,11.78294118,5.77364118,66.56711884
75,3415ca5d-b29e-4a9c-81e3-d70d334e1475,2026-07-06 14:34:57,2026-07-06 14:24:37,2026-07-06 14:34:57,2026-07-06 14:25:00,eth-updown-5m-1783347900,Up,0.47,6.0093,12.78574468,12.78574468,6.77644468,73.34356352
76,2ff4026c-992d-45f3-af92-5986383c2325,2026-07-06 14:38:54,2026-07-06 14:29:37,2026-07-06 14:38:54,2026-07-06 14:30:00,eth-updown-5m-1783348200,Up,0.48,6.0093,12.519375,12.519375,6.510075,79.85363852
77,70e40704-6fdb-4a70-a752-b6122b33d26a,2026-07-06 14:44:56,2026-07-06 14:34:36,2026-07-06 14:44:56,2026-07-06 14:35:00,eth-updown-5m-1783348500,Up,0.49,6.0093,12.26387755,12.26387755,6.25457755,86.10821607
78,3eb6dd39-b576-463c-b9ac-b3a73f827518,2026-07-06 14:49:41,2026-07-06 14:39:36,2026-07-06 14:49:41,2026-07-06 14:40:00,eth-updown-5m-1783348800,Up,0.51,6.0093,11.78294118,0,-6.0093,80.09891607
79,b3099d85-57b4-4825-995e-afe04e3ef40e,2026-07-06 14:54:45,2026-07-06 14:44:38,2026-07-06 14:54:45,2026-07-06 14:45:00,eth-updown-5m-1783349100,Up,0.5,6.0093,12.0186,0,-6.0093,74.08961607
80,416adc6a-4553-4479-b958-b9aca7dd7390,2026-07-06 14:59:50,2026-07-06 14:49:36,2026-07-06 14:59:50,2026-07-06 14:50:00,eth-updown-5m-1783349400,Up,0.52,6.0093,11.55634615,11.55634615,5.54704615,79.63666222
81,5a03af02-cf7c-4af6-8d39-6cd4b35223cc,2026-07-06 15:05:10,2026-07-06 14:54:38,2026-07-06 15:05:10,2026-07-06 14:55:00,eth-updown-5m-1783349700,Up,0.51,6.0093,11.78294118,11.78294118,5.77364118,85.4103034
