"asset","offset_seconds","depth","threshold_bps","catalog_equivalent_rows","entries","settled_trades","wins","losses","ties","win_rate_pct","roi_pct_at_0_55","pnl_units_at_0_55","break_even_entry_price","wilson_lower_win_rate_pct","z_score","avg_abs_deviation_bps","avg_signed_deviation_bps","trades_per_day","max_drawdown_units","longest_loss_streak","active_months","profitable_active_months","worst_month_roi_pct_at_0_55","best_month_roi_pct_at_0_55","suitability_at_0_55"
"SOL","30","50","70","2","3177","3135","1714","1421","42","54.673","-0.5866","-10.25","0.5467","52.9258","5.233","109.3279","-6.0363","17.456","25","10","7","2","-10.9482","4.3112","reject"
"SOL","30","50","75","2","2732","2699","1480","1219","33","54.8351","-0.2962","-4.45","0.5484","52.9521","5.0239","115.343","-6.8136","15.011","24","9","7","3","-11.2959","5.0701","reject"
"SOL","30","50","80","2","2368","2339","1292","1047","29","55.2373","0.4261","5.55","0.5524","53.2151","5.0658","121.1705","-7.3882","13.011","21","9","7","3","-11.7483","5.1841","reject"
"SOL","30","50","85","2","2050","2025","1115","910","25","55.0617","0.1109","1.25","0.5506","52.8876","4.5556","127.1787","-7.9665","11.2637","17","9","7","2","-8.4216","4.953","reject"
"SOL","30","50","90","2","1800","1778","977","801","22","54.9494","-0.0909","-0.9","0.5495","52.6285","4.1739","132.7044","-8.1197","9.8901","17","9","7","2","-4.8209","4.9676","reject"
"SOL","30","50","95","2","1578","1557","854","703","21","54.8491","-0.2708","-2.35","0.5485","52.3683","3.8268","138.374","-8.8267","8.6703","16","9","7","2","-9.0909","5.5556","reject"
"SOL","30","50","100","2","1379","1359","745","614","20","54.8197","-0.323","-2.45","0.5482","52.1638","3.5535","144.3032","-7.8009","7.5769","14","9","7","3","-9.0909","4.6095","reject"
"SOL","30","40","0","1","52407","50460","26381","24079","1947","52.281","-4.7599","-1372","0.5228","51.845","10.2478","21.7481","-0.397","287.9505","63","12","7","0","-6.1492","-2.9598","reject"
"SOL","30","40","5","2","41883","40411","21371","19040","1472","52.8841","-3.7119","-855.05","0.5288","52.3972","11.5956","26.5917","-0.5","230.1264","46","12","7","0","-5.6307","-0.8445","reject"
"SOL","30","40","10","2","32527","31468","16768","14700","1059","53.2859","-3.0151","-539.4","0.5329","52.7343","11.6578","32.1072","-0.7115","178.7198","38","11","7","0","-4.5775","-0.8048","reject"
"SOL","30","40","15","2","25006","24247","13002","11245","759","53.6231","-2.4274","-333.85","0.5362","52.9949","11.2835","38.0427","-0.9748","137.3956","36","10","7","0","-4.2875","-0.8803","reject"
"SOL","30","40","20","2","19161","18629","10059","8570","532","53.9965","-1.774","-186.95","0.54","53.28","10.9094","44.3492","-1.436","105.2802","32","10","7","1","-4.1102","0.6116","reject"
