rank,asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,settled_trades,win_rate_pct,roi_pct_at_0_50,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,active_months,profitable_active_months,suitability
109,BTC,10,40,40,2,3786,55.9429,11.8859,0.5594,7.5826,54.3563,7.3134,7,7,"research_candidate"
110,SOL,5,20,60,2,1673,56.0072,11.8794,0.5601,7.7061,53.6175,4.9141,7,7,"research_candidate"
111,SOL,25,30,85,2,1071,56.0224,11.8785,0.5602,7.7354,53.0334,3.9418,7,6,"research_candidate"
112,SOL,10,40,95,2,1196,56.0201,11.8714,0.5602,7.7309,53.1921,4.1639,7,7,"research_candidate"
113,BTC,10,30,35,2,3758,55.934,11.868,0.5593,7.5654,54.3414,7.2754,7,7,"research_candidate"
114,SOL,10,40,75,2,2093,55.9962,11.8564,0.56,7.685,53.8605,5.4864,7,7,"research_candidate"
115,SOL,5,30,75,2,1550,56,11.8547,0.56,7.6923,53.517,4.7244,7,6,"research_candidate"
116,BTC,5,60,55,2,3004,55.9254,11.8509,0.5593,7.5489,54.1435,6.4953,7,6,"research_candidate"
117,SOL,10,30,80,2,1291,56.0031,11.8502,0.56,7.6983,53.2815,4.3139,7,6,"research_candidate"
118,SOL,25,30,60,2,2456,55.9853,11.8215,0.5599,7.6641,54.0142,5.9324,7,7,"research_candidate"
119,BTC,20,20,35,2,2404,55.9068,11.8136,0.5591,7.5131,53.9142,5.7923,7,6,"research_candidate"
120,BTC,20,60,45,2,4411,55.9057,11.8114,0.5591,7.5109,54.4359,7.8446,7,6,"research_candidate"
121,ETH,15,20,80,2,678,55.8997,11.7994,0.559,7.4994,52.1395,3.0724,6,5,"research_candidate"
122,ETH,5,20,20,2,10679,55.9041,11.7939,0.559,7.5079,54.9605,12.2025,7,7,"research_candidate"
123,BTC,25,60,45,2,4401,55.8964,11.7928,0.559,7.4931,54.4249,7.8233,7,7,"research_candidate"
124,ETH,5,40,35,2,7639,55.8974,11.7824,0.559,7.4949,54.7812,10.3088,7,7,"research_candidate"
125,BTC,20,30,50,2,1666,55.8824,11.7647,0.5588,7.4661,53.4872,4.802,7,6,"research_candidate"
126,SOL,30,40,70,2,2422,55.9455,11.7551,0.5595,7.5875,53.9604,5.852,7,7,"research_candidate"
127,SOL,20,30,70,2,1757,55.9476,11.7482,0.5595,7.5916,53.6158,4.9861,7,6,"research_candidate"
128,SOL,20,20,60,2,1589,55.9471,11.7464,0.5595,7.5906,53.4947,4.7413,7,7,"research_candidate"
129,SOL,15,40,100,2,1040,55.9615,11.7424,0.5596,7.6183,52.9279,3.8451,7,7,"research_candidate"
130,BTC,30,50,45,2,3648,55.8662,11.7325,0.5587,7.4351,54.2495,7.0862,7,7,"research_candidate"
131,SOL,30,40,85,2,1525,55.9344,11.7228,0.5593,7.5662,53.4308,4.6349,7,6,"research_candidate"
132,BTC,20,20,40,2,1783,55.8609,11.7218,0.5586,7.4248,53.5459,4.9496,7,6,"research_candidate"
133,SOL,25,30,70,2,1745,55.9312,11.7214,0.5593,7.5601,53.5913,4.9553,7,7,"research_candidate"
134,SOL,10,40,90,2,1382,55.9334,11.7143,0.5593,7.5643,53.303,4.4115,7,7,"research_candidate"
135,BTC,10,50,40,2,4687,55.8566,11.7132,0.5586,7.4166,54.4308,8.0191,7,7,"research_candidate"
136,BTC,25,40,50,2,2306,55.8543,11.7086,0.5585,7.4121,53.8195,5.6226,7,6,"research_candidate"
137,BTC,15,30,35,2,3726,55.8508,11.7016,0.5585,7.4053,54.2511,7.1427,7,7,"research_candidate"
138,BTC,25,40,45,2,2926,55.8442,11.6883,0.5584,7.3926,54.0384,6.3225,7,6,"research_candidate"
139,BTC,15,60,45,2,4425,55.8418,11.6836,0.5584,7.3881,54.3742,7.772,7,6,"research_candidate"
140,SOL,25,20,65,2,1286,55.9098,11.6564,0.5591,7.5188,53.1826,4.2386,7,6,"research_candidate"
141,BTC,15,60,50,2,3590,55.8217,11.6435,0.5582,7.3495,54.1919,6.9764,7,6,"research_candidate"
142,BTC,10,30,45,2,2184,55.815,11.63,0.5582,7.3366,53.7238,5.4351,7,6,"research_candidate"
143,BTC,10,50,60,2,2014,55.8093,11.6187,0.5581,7.3256,53.6314,5.2142,7,6,"research_candidate"
144,BTC,25,50,50,2,2953,55.8077,11.6153,0.5581,7.3224,54.0101,6.3119,7,6,"research_candidate"
145,BTC,30,30,40,2,2747,55.8063,11.6127,0.5581,7.3199,53.9423,6.0864,7,6,"research_candidate"
146,SOL,30,40,80,2,1779,55.8741,11.6111,0.5587,7.4502,53.5565,4.9552,7,6,"research_candidate"
147,SOL,15,30,70,2,1781,55.8675,11.5982,0.5587,7.4375,53.5512,4.9524,7,6,"research_candidate"
148,SOL,15,40,85,2,1584,55.8712,11.596,0.5587,7.4446,53.4146,4.6734,7,7,"research_candidate"
149,BTC,10,30,50,2,1699,55.7975,11.5951,0.558,7.3029,53.4256,4.7794,7,6,"research_candidate"
150,BTC,20,10,40,2,751,55.7923,11.5846,0.5579,7.2928,52.2197,3.1747,6,6,"research_candidate"
151,BTC,20,50,40,2,4655,55.7895,11.5789,0.5579,7.2874,54.3586,7.9,7,7,"research_candidate"
152,SOL,30,20,55,2,1937,55.8596,11.5757,0.5586,7.4223,53.6388,5.1578,7,6,"research_candidate"
153,ETH,5,50,40,2,7345,55.7931,11.5751,0.5579,7.2943,54.6545,9.9296,7,7,"research_candidate"
154,BTC,15,40,40,2,3795,55.7839,11.5679,0.5578,7.2768,54.1987,7.1262,7,6,"research_candidate"
155,BTC,20,50,55,2,2413,55.7812,11.5624,0.5578,7.2715,53.7919,5.6797,7,6,"research_candidate"
156,BTC,25,30,40,2,2770,55.7762,11.5523,0.5578,7.2619,53.9199,6.0801,7,6,"research_candidate"
157,SOL,30,30,85,2,1058,55.8601,11.5456,0.5586,7.4233,52.8521,3.8122,7,6,"research_candidate"
158,BTC,15,60,55,2,2946,55.7705,11.5411,0.5577,7.251,53.9707,6.2642,7,6,"research_candidate"
159,BTC,5,30,45,2,2184,55.7692,11.5385,0.5577,7.2485,53.6779,5.3923,7,6,"research_candidate"
160,SOL,20,40,75,2,2054,55.8423,11.5329,0.5584,7.389,53.6858,5.2955,7,6,"research_candidate"
161,BTC,5,20,30,2,3420,55.7602,11.5205,0.5576,7.2312,54.0901,6.7373,7,7,"research_candidate"
162,SOL,15,30,80,2,1286,55.832,11.5119,0.5583,7.3693,53.1045,4.1828,7,6,"research_candidate"
163,SOL,5,30,55,2,3122,55.8296,11.5117,0.5583,7.3646,54.0815,6.5146,7,7,"research_candidate"
164,SOL,25,40,70,2,2422,55.8216,11.5055,0.5582,7.3493,53.8362,5.7301,7,7,"research_candidate"
165,BTC,5,60,60,2,2513,55.7501,11.5002,0.5575,7.2117,53.8008,5.765,7,6,"research_candidate"
166,SOL,5,50,90,2,1811,55.8255,11.4924,0.5583,7.3568,53.5284,4.9582,7,7,"research_candidate"
167,BTC,20,40,40,2,3733,55.746,11.4921,0.5575,7.2039,54.1476,7.0215,7,6,"research_candidate"
168,SOL,15,30,75,2,1503,55.8217,11.4905,0.5582,7.3494,53.2994,4.514,7,7,"research_candidate"
169,ETH,10,20,20,2,10592,55.7496,11.483,0.5575,7.2108,54.8018,11.8347,7,7,"research_candidate"
170,ETH,10,50,45,2,6031,55.7453,11.4811,0.5575,7.2025,54.4885,8.9236,7,7,"research_candidate"
171,BTC,25,40,55,2,1873,55.7395,11.4789,0.5574,7.1913,53.4805,4.9679,7,6,"research_candidate"
172,BTC,5,40,40,2,3827,55.7356,11.4711,0.5574,7.1838,54.1569,7.0964,7,7,"research_candidate"
173,BTC,25,60,50,2,3576,55.7327,11.4653,0.5573,7.1782,54.0994,6.8562,7,6,"research_candidate"
174,BTC,30,60,45,2,4391,55.7276,11.4552,0.5573,7.1685,54.2541,7.5908,7,7,"research_candidate"
175,SOL,15,40,80,2,1814,55.7883,11.4504,0.5579,7.2852,53.493,4.9306,7,6,"research_candidate"
176,BTC,25,60,55,2,2927,55.7226,11.4452,0.5572,7.1588,53.9167,6.192,7,6,"research_candidate"
177,ETH,25,20,35,2,4070,55.7248,11.4384,0.5572,7.1631,54.1941,7.3045,7,7,"research_candidate"
178,ETH,10,20,85,2,551,55.7169,11.4338,0.5572,7.1478,51.5439,2.6839,5,4,"research_candidate"
179,SOL,5,30,60,2,2560,55.7813,11.433,0.5578,7.2716,53.8501,5.8502,7,7,"research_candidate"
180,BTC,10,60,55,2,2974,55.7162,11.4324,0.5572,7.1466,53.9247,6.2346,7,6,"research_candidate"
181,BTC,10,60,45,2,4410,55.7143,11.4286,0.5571,7.1429,54.2439,7.5895,7,6,"research_candidate"
182,SOL,20,40,70,2,2438,55.7834,11.4263,0.5578,7.2758,53.8044,5.7113,7,7,"research_candidate"
183,SOL,20,30,100,2,672,55.8036,11.4202,0.558,7.3146,52.0262,3.0089,6,6,"research_candidate"
184,ETH,10,30,30,2,7707,55.7156,11.4193,0.5572,7.1454,54.604,10.0354,7,7,"research_candidate"
185,ETH,30,20,30,2,5372,55.7148,11.4169,0.5571,7.1439,54.3829,8.3772,7,7,"research_candidate"
186,SOL,5,20,50,2,2517,55.7807,11.4162,0.5578,7.2706,53.8331,5.8003,7,6,"research_candidate"
187,SOL,10,30,65,2,2132,55.7692,11.4153,0.5577,7.2485,53.6525,5.3277,7,7,"research_candidate"
188,BTC,25,50,35,2,5958,55.7066,11.4132,0.5571,7.1281,54.442,8.8097,7,7,"research_candidate"
189,BTC,30,60,50,2,3549,55.7058,11.4117,0.5571,7.1266,54.0663,6.7983,7,6,"research_candidate"
190,ETH,5,50,35,2,9002,55.7098,11.407,0.5571,7.1343,54.6815,10.8349,7,7,"research_candidate"
191,SOL,25,40,90,2,1361,55.7678,11.4016,0.5577,7.2458,53.1166,4.2557,7,7,"research_candidate"
192,ETH,5,30,30,2,7762,55.7073,11.4014,0.5571,7.1294,54.5997,10.0565,7,7,"research_candidate"
193,BTC,15,50,55,2,2440,55.6967,11.3934,0.557,7.1091,53.7183,5.6279,7,6,"research_candidate"
194,SOL,5,30,100,2,699,55.794,11.3924,0.5579,7.2961,52.0905,3.0637,6,6,"research_candidate"
195,ETH,5,40,30,2,9542,55.7011,11.3891,0.557,7.1175,54.7023,11.1381,7,7,"research_candidate"
196,ETH,20,20,35,2,4115,55.6987,11.389,0.557,7.1128,54.1763,7.3112,7,7,"research_candidate"
197,BTC,10,40,50,2,2336,55.6935,11.387,0.5569,7.1029,53.6713,5.5036,7,6,"research_candidate"
198,BTC,30,30,45,2,2099,55.6932,11.3864,0.5569,7.1023,53.5596,5.2166,7,6,"research_candidate"
199,BTC,30,50,40,2,4620,55.6926,11.3853,0.5569,7.1012,54.2561,7.7386,7,7,"research_candidate"
200,BTC,30,30,50,2,1634,55.6916,11.3831,0.5569,7.0991,53.2724,4.6014,7,6,"research_candidate"
