"asset","offset_seconds","depth","threshold_bps","catalog_equivalent_rows","entries","settled_trades","wins","losses","ties","win_rate_pct","roi_pct_at_0_55","pnl_units_at_0_55","break_even_entry_price","wilson_lower_win_rate_pct","z_score","avg_abs_deviation_bps","avg_signed_deviation_bps","trades_per_day","max_drawdown_units","longest_loss_streak","active_months","profitable_active_months","worst_month_roi_pct_at_0_55","best_month_roi_pct_at_0_55","suitability_at_0_55"
"BTC","30","50","45","2","3648","3648","2038","1610","0","55.8662","1.575","31.6","0.5587","54.2495","7.0862","72.5342","-4.018","20.044","18","9","7","5","-0.9498","3.6317","watch_only"
"SOL","30","40","80","2","1800","1779","994","785","21","55.8741","1.5707","15.55","0.5587","53.5565","4.9552","119.3918","-6.9853","9.8901","16","9","7","3","-13.0435","7.2448","reject"
"BTC","10","50","40","2","4687","4687","2618","2069","0","55.8566","1.5575","40.15","0.5586","54.4308","8.0191","66.4394","-3.5829","25.7527","21","9","7","5","-6.8736","4.6938","watch_only"
"SOL","30","20","55","2","1961","1937","1082","855","24","55.8596","1.5437","16.65","0.5586","53.6388","5.1578","83.023","-1.5939","10.7747","20","7","7","4","-9.484","8.3563","watch_only"
"SOL","30","30","85","2","1074","1058","591","467","16","55.8601","1.5405","9.1","0.5586","52.8521","3.8122","122.6784","-6.823","5.9011","10","7","7","3","-13.4199","5.0977","reject"
"SOL","5","30","55","2","3162","3122","1743","1379","40","55.8296","1.4893","25.9","0.5583","54.0815","6.5146","86.9566","-3.6989","17.3736","22","9","7","4","-4.1051","4.8893","watch_only"
"BTC","10","30","45","2","2184","2184","1219","965","0","55.815","1.4819","17.8","0.5582","53.7238","5.4351","69.0918","-2.5709","12","19","10","7","4","-22.5589","7.8118","watch_only"
"SOL","5","50","90","2","1836","1811","1011","800","25","55.8255","1.4805","14.95","0.5583","53.5284","4.9582","133.4916","-7.0941","10.0879","16","7","7","3","-1.5488","5.1693","reject"
"BTC","10","50","60","2","2014","2014","1124","890","0","55.8093","1.4715","16.3","0.5581","53.6314","5.2142","90.6959","-5.9698","11.0659","17","9","7","4","-26.499","6.1425","watch_only"
"BTC","30","30","40","2","2747","2747","1533","1214","0","55.8063","1.4661","22.15","0.5581","53.9423","6.0864","62.7079","-2.381","15.0934","20","9","7","4","-11.4833","4.56","watch_only"
