rank,asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,settled_trades,win_rate_pct,roi_pct_at_0_50,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,active_months,profitable_active_months,suitability
126,BTC,5,60,45,2,4458,55.6752,11.3504,0.5568,7.0677,54.2126,7.5785,7,7,"research_candidate"
127,SOL,30,20,50,2,2393,55.7459,11.3496,0.5575,7.2037,53.7482,5.6216,7,7,"research_candidate"
128,BTC,30,40,50,2,2310,55.671,11.342,0.5567,7.0596,53.6374,5.4512,7,6,"research_candidate"
129,ETH,10,20,40,2,3273,55.6676,11.3248,0.5567,7.053,53.96,6.4849,7,7,"research_candidate"
130,ETH,5,50,45,2,6099,55.6649,11.3204,0.5566,7.0478,54.4149,8.8481,7,7,"research_candidate"
131,ETH,5,10,15,2,10088,55.6602,11.3069,0.5566,7.0388,54.6888,11.3701,7,7,"research_candidate"
132,BTC,30,50,60,2,1964,55.6517,11.3035,0.5565,7.0226,53.4456,5.0094,7,6,"research_candidate"
133,SOL,5,40,100,2,1055,55.7346,11.2979,0.5573,7.1819,52.7219,3.7253,7,5,"research_candidate"
134,SOL,10,30,95,2,802,55.7357,11.2883,0.5574,7.184,52.2788,3.2486,6,5,"research_candidate"
135,BTC,5,50,40,2,4725,55.6402,11.2804,0.5564,7.0004,54.2196,7.754,7,7,"research_candidate"
136,BTC,30,60,40,2,5541,55.6398,11.2796,0.5564,6.9996,54.3282,8.3963,7,7,"research_candidate"
137,ETH,10,40,25,2,12234,55.6482,11.277,0.5565,7.0158,54.7662,12.4946,7,7,"research_candidate"
138,ETH,30,30,100,2,604,55.6291,11.2583,0.5563,6.9791,51.6437,2.7669,5,4,"research_candidate"
139,ETH,5,60,45,2,7095,55.6307,11.2519,0.5563,6.9822,54.4719,9.4857,7,7,"research_candidate"
140,ETH,30,10,25,2,3955,55.6258,11.2431,0.5563,6.9727,54.0727,7.076,7,7,"research_candidate"
141,SOL,10,20,60,2,1641,55.6977,11.238,0.557,7.111,53.2838,4.6162,7,7,"research_candidate"
142,ETH,5,30,35,2,6120,55.6046,11.1982,0.556,6.9319,54.3566,8.769,7,7,"research_candidate"
143,ETH,30,20,40,2,3121,55.5912,11.1716,0.5559,6.9061,53.8421,6.2471,7,7,"research_candidate"
144,ETH,10,10,25,2,4305,55.5865,11.1679,0.5559,6.8972,54.0979,7.3309,7,7,"research_candidate"
145,ETH,5,20,75,2,833,55.5822,11.1645,0.5558,6.8889,52.19,3.2223,6,5,"research_candidate"
146,BTC,5,40,50,2,2377,55.5743,11.1485,0.5557,6.8736,53.5693,5.4354,7,6,"research_candidate"
147,ETH,10,50,35,2,8959,55.5754,11.1384,0.5558,6.8758,54.5443,10.5545,7,7,"research_candidate"
