asset,offset_seconds,depth,threshold_bps,catalog_equivalent_rows,entries,settled_trades,wins,losses,ties,win_rate_pct,roi_pct_at_0_50,pnl_units,break_even_entry_price,roi_pct_at_0_52,wilson_lower_win_rate_pct,z_score,avg_abs_deviation_bps,avg_signed_deviation_bps,avg_current_move_bps,trades_per_day,max_drawdown_units,longest_loss_streak,active_months,profitable_active_months,worst_month_roi_pct,best_month_roi_pct,suitability
BTC,25,10,20,2,3837,3836,2090,1746,1,54.4838,8.9653,344,0.5448,4.7766,52.9042,5.5542,32.3829,-0.9443,0.1704,21.0824,27,10,7,6,-1.9608,19.0283,"research_candidate"
BTC,25,10,25,2,2357,2357,1304,1053,0,55.3246,10.6491,251,0.5532,6.3934,53.3104,5.17,38.744,-0.743,-0.0206,12.9505,18,10,7,7,3.3333,15.9664,"research_candidate"
BTC,25,10,30,2,1513,1513,823,690,0,54.3952,8.7905,133,0.544,4.6062,51.8776,3.4193,45.1461,-0.1161,0.1862,8.3132,17,8,7,7,6.5089,11.8211,"research_candidate"
BTC,25,10,35,2,1026,1026,558,468,0,54.386,8.7719,90,0.5439,4.5884,51.3275,2.8098,51.2749,0.482,0.3555,5.6374,14,7,6,6,4.1096,14.5299,"research_candidate"
BTC,25,10,40,2,726,726,397,329,0,54.6832,9.3664,68,0.5468,5.16,51.0469,2.5237,57.0046,0.0627,0.1091,3.989,9,8,6,6,6.3063,16,"research_candidate"
BTC,25,10,45,2,526,526,292,234,0,55.5133,11.0266,58,0.5551,6.7564,51.2416,2.5289,62.591,3.1513,-0.6443,2.8901,9,6,5,5,7.8947,16.9811,"research_candidate"
BTC,25,10,50,2,378,378,214,164,0,56.6138,13.2275,50,0.5661,8.8726,51.5757,2.5717,68.5662,4.4857,-0.6806,2.0769,10,9,5,5,6.8182,22.2222,"insufficient_sample"
BTC,25,10,55,2,277,277,157,120,0,56.6787,13.3574,37,0.5668,8.9975,50.7912,2.2231,74.4318,4.8215,-0.8064,1.522,9,8,4,4,8.1481,31.4286,"insufficient_sample"
BTC,25,10,60,2,211,211,125,86,0,59.2417,18.4834,39,0.5924,13.9264,52.5036,2.6849,79.7912,8.5209,0.7768,1.1593,7,7,4,4,12.381,42.8571,"insufficient_sample"
BTC,25,10,65,2,160,160,98,62,0,61.25,22.5,36,0.6125,17.7885,53.5217,2.846,85.3395,13.2693,-0.7214,0.8791,6,6,3,3,10.2564,54.5455,"insufficient_sample"
BTC,25,10,70,2,122,122,72,50,0,59.0164,18.0328,22,0.5902,13.4931,50.1439,1.9918,91.0553,16.2268,0.9545,0.6703,7,5,2,2,6.6667,30.7692,"insufficient_sample"
BTC,25,10,75,2,90,90,50,40,0,55.5556,11.1111,10,0.5556,6.8376,45.2717,1.0541,97.6007,18.6483,-2.9825,0.4945,7,4,1,1,2.0408,2.0408,"insufficient_sample"
BTC,25,10,80,2,66,66,36,30,0,54.5455,9.0909,6,0.5455,4.8951,42.6148,0.7385,104.7772,25.4643,-2.3392,0.3626,8,4,1,1,2.8571,2.8571,"insufficient_sample"
BTC,25,10,85,2,50,50,28,22,0,56,12,6,0.56,7.6923,42.3058,0.8485,111.6813,30.3578,3.419,0.2747,3,3,1,1,7.1429,7.1429,"insufficient_sample"
BTC,25,10,90,2,41,41,21,20,0,51.2195,2.439,1,0.5122,-1.5009,36.4843,0.1562,117.0837,30.7381,5.508,0.2253,4,3,1,0,-8.3333,-8.3333,"insufficient_sample"
BTC,25,10,95,2,30,30,17,13,0,56.6667,13.3333,4,0.5667,8.9744,39.197,0.7303,126.3586,45.3833,9.7252,0.1648,3,3,0,0,0,0,"insufficient_sample"
BTC,25,10,100,2,24,24,13,11,0,54.1667,8.3333,2,0.5417,4.1667,35.0746,0.4082,133.3995,48.5663,1.0982,0.1319,4,3,0,0,0,0,"insufficient_sample"
BTC,30,100,0,1,52416,52276,26792,25484,140,51.2511,2.4954,1308,0.5125,-1.4403,50.8225,5.7208,23.551,-0.5904,-0.0515,288,82,15,7,7,0.728,3.8773,"watch_only"
BTC,30,100,5,2,42190,42124,21748,20376,66,51.6285,3.252,1372,0.5163,-0.7144,51.1512,6.6848,28.6525,-0.7397,-0.053,231.8132,102,15,7,7,0.986,5.2956,"research_candidate"
BTC,30,100,10,2,33163,33135,17285,15850,28,52.1654,4.3271,1435,0.5217,0.318,51.6273,7.8833,34.4271,-0.9829,-0.0515,182.2143,62,13,7,7,2.4403,6.3095,"research_candidate"
BTC,30,100,15,2,26039,26024,13669,12355,15,52.5246,5.0463,1314,0.5252,1.0088,51.9175,8.1453,40.4534,-1.4235,0.0056,143.0714,55,13,7,7,2.9465,8.1897,"research_candidate"
BTC,30,100,20,2,20497,20487,10845,9642,10,52.936,5.8692,1203,0.5294,1.8,52.252,8.4048,46.6754,-1.888,0.0651,112.6209,44,12,7,7,3.701,10.3405,"research_candidate"
BTC,30,100,25,2,16284,16279,8686,7593,5,53.3571,6.7121,1093,0.5336,2.6098,52.59,8.5666,52.9711,-2.2084,0.1283,89.4725,36,12,7,7,3.5289,13.7681,"research_candidate"
