"asset_symbol","market_start_utc","sampled_at_utc","counter_start_market_start_utc","up_count","down_count","diff","processed_market_count"
"BTC","2026-06-08T11:05:00Z","2026-06-08T11:14:59.609Z","2026-06-08T11:00:00Z","0","0","0","0"
"ETH","2026-06-08T11:05:00Z","2026-06-08T11:14:59.609Z","2026-06-08T11:00:00Z","0","0","0","0"
"SOL","2026-06-08T11:05:00Z","2026-06-08T11:14:59.609Z","2026-06-08T11:00:00Z","0","0","0","0"
"BTC","2026-06-08T11:10:00Z","2026-06-08T11:19:48.019Z","2026-06-08T11:00:00Z","0","0","0","0"
"ETH","2026-06-08T11:10:00Z","2026-06-08T11:19:48.019Z","2026-06-08T11:00:00Z","0","0","0","0"
"SOL","2026-06-08T11:10:00Z","2026-06-08T11:19:48.019Z","2026-06-08T11:00:00Z","0","0","0","0"
"BTC","2026-06-08T11:15:00Z","2026-06-08T11:24:57.752Z","2026-06-08T11:00:00Z","0","0","0","0"
"ETH","2026-06-08T11:15:00Z","2026-06-08T11:24:57.752Z","2026-06-08T11:00:00Z","0","0","0","0"
"SOL","2026-06-08T11:15:00Z","2026-06-08T11:24:57.752Z","2026-06-08T11:00:00Z","0","0","0","0"
"BTC","2026-06-08T11:20:00Z","2026-06-08T11:29:53.832Z","2026-06-08T11:00:00Z","0","0","0","0"
"ETH","2026-06-08T11:20:00Z","2026-06-08T11:29:53.832Z","2026-06-08T11:00:00Z","0","0","0","0"
"SOL","2026-06-08T11:20:00Z","2026-06-08T11:29:53.832Z","2026-06-08T11:00:00Z","0","0","0","0"
"BTC","2026-06-08T11:25:00Z","2026-06-08T11:34:07.993Z","2026-06-08T11:00:00Z","0","0","0","0"
"ETH","2026-06-08T11:25:00Z","2026-06-08T11:34:07.993Z","2026-06-08T11:00:00Z","0","0","0","0"
"SOL","2026-06-08T11:25:00Z","2026-06-08T11:34:07.993Z","2026-06-08T11:00:00Z","0","0","0","0"
"BTC","2026-06-08T11:30:00Z","2026-06-08T11:39:13.315Z","2026-06-08T11:00:00Z","0","0","0","0"
"ETH","2026-06-08T11:30:00Z","2026-06-08T11:39:13.315Z","2026-06-08T11:00:00Z","0","0","0","0"
"SOL","2026-06-08T11:30:00Z","2026-06-08T11:39:13.315Z","2026-06-08T11:00:00Z","0","0","0","0"
"BTC","2026-06-08T11:35:00Z","2026-06-08T11:44:57.563Z","2026-06-08T11:00:00Z","0","0","0","0"
"ETH","2026-06-08T11:35:00Z","2026-06-08T11:44:57.563Z","2026-06-08T11:00:00Z","0","0","0","0"
"SOL","2026-06-08T11:35:00Z","2026-06-08T11:44:57.563Z","2026-06-08T11:00:00Z","0","0","0","0"
"BTC","2026-06-08T11:40:00Z","2026-06-08T11:49:19.019Z","2026-06-08T11:00:00Z","0","0","0","0"
"ETH","2026-06-08T11:40:00Z","2026-06-08T11:49:19.019Z","2026-06-08T11:00:00Z","0","0","0","0"
"SOL","2026-06-08T11:40:00Z","2026-06-08T11:49:19.019Z","2026-06-08T11:00:00Z","0","0","0","0"
"BTC","2026-06-08T11:45:00Z","2026-06-08T11:54:59.045Z","2026-06-08T11:00:00Z","0","0","0","0"
"ETH","2026-06-08T11:45:00Z","2026-06-08T11:54:59.045Z","2026-06-08T11:00:00Z","0","0","0","0"
"SOL","2026-06-08T11:45:00Z","2026-06-08T11:54:59.045Z","2026-06-08T11:00:00Z","0","0","0","0"
"BTC","2026-06-08T11:50:00Z","2026-06-08T11:59:55.133Z","2026-06-08T11:55:00Z","0","0","0","0"
"ETH","2026-06-08T11:50:00Z","2026-06-08T11:59:55.133Z","2026-06-08T11:55:00Z","0","0","0","0"
"SOL","2026-06-08T11:50:00Z","2026-06-08T11:59:55.133Z","2026-06-08T11:55:00Z","0","0","0","0"
"BTC","2026-06-08T11:55:00Z","2026-06-08T12:04:50.147Z","2026-06-08T11:55:00Z","0","0","0","0"
"ETH","2026-06-08T11:55:00Z","2026-06-08T12:04:50.147Z","2026-06-08T11:55:00Z","0","0","0","0"
"SOL","2026-06-08T11:55:00Z","2026-06-08T12:04:50.147Z","2026-06-08T11:55:00Z","0","0","0","0"
"BTC","2026-06-08T12:00:00Z","2026-06-08T12:09:55.950Z","2026-06-08T11:55:00Z","0","0","0","0"
