"sample_number","sample_utc","asset","market_slug","market_id","market_start_utc","market_end_utc","seconds_to_start","seconds_from_start","seconds_to_end","outcome","token_id","best_bid","best_bid_size","best_ask","best_ask_size","spread","bid_levels","ask_levels","top5_bid_size","top5_ask_size","total_bid_size","total_ask_size","book_timestamp","book_market","binance_price","start_reference_price","move_from_start_bps","error"
"6","2026-06-18T18:02:55.1205672+00:00","ETH","eth-updown-5m-1781805900","2584884","2026-06-18T18:05:00.0000000+00:00","2026-06-18T18:10:00.0000000+00:00","124.879","-124.879","424.879","Up","87638470687256180789625872353959436232072330222476306766552913512268745202636","0.51","95.05","0.52","50.66","0.01","51","48","295.20","1176.44","25401.62","25398.98","1781805775369","0xc4848f78d533e55544fdde0ded280ad7ca5126882d67812d9248377570186e23","1679.52000000",,,""
"6","2026-06-18T18:02:55.1205672+00:00","ETH","eth-updown-5m-1781805900","2584884","2026-06-18T18:05:00.0000000+00:00","2026-06-18T18:10:00.0000000+00:00","124.879","-124.879","424.879","Down","6433665683337383870393395622078943490078528184181542297078329973561292970114","0.48","50.66","0.49","95.05","0.01","48","51","1176.44","295.20","25398.98","25401.62","1781805775369","0xc4848f78d533e55544fdde0ded280ad7ca5126882d67812d9248377570186e23","1679.52000000",,,""
"6","2026-06-18T18:02:55.1205672+00:00","BTC","btc-updown-5m-1781805900","2584885","2026-06-18T18:05:00.0000000+00:00","2026-06-18T18:10:00.0000000+00:00","124.879","-124.879","424.879","Up","84992519852971935377829666695110129200269350761576584997248599646134881919776","0.5","1280.25","0.51","442.45","0.01","50","49","2137.76","3206.61","47887.66","51741.82","1781805777373","0x8506535a52f6b682f53f20d77739545978544028b27e4ab3c2609a3b21b32096","62628.16000000",,,""
"6","2026-06-18T18:02:55.1205672+00:00","BTC","btc-updown-5m-1781805900","2584885","2026-06-18T18:05:00.0000000+00:00","2026-06-18T18:10:00.0000000+00:00","124.879","-124.879","424.879","Down","42465430903139473100546293101713411666359504294071645838614940811631751292310","0.49","442.45","0.5","1280.25","0.01","49","50","3206.61","2137.76","51741.82","47887.66","1781805777373","0x8506535a52f6b682f53f20d77739545978544028b27e4ab3c2609a3b21b32096","62628.16000000",,,""
"6","2026-06-18T18:02:55.1205672+00:00","SOL","sol-updown-5m-1781805900","2584886","2026-06-18T18:05:00.0000000+00:00","2026-06-18T18:10:00.0000000+00:00","124.879","-124.879","424.879","Up","17918595972159669296704757368041046382807284320771970511236606858231649587146","0.51","35.05","0.52","23.25","0.01","50","48","148.55","656.44","14163.16","14169.70","1781805771629","0x6fe6c50e9739f3ec9f319c15d99b69bf1a986466f2ad035b006f6343b0fe7078","68.48000000",,,""
"6","2026-06-18T18:02:55.1205672+00:00","SOL","sol-updown-5m-1781805900","2584886","2026-06-18T18:05:00.0000000+00:00","2026-06-18T18:10:00.0000000+00:00","124.879","-124.879","424.879","Down","19093975118609871406874996908570798158581047681193006965676263914632124416327","0.48","23.25","0.49","35.05","0.01","48","50","656.44","148.55","14169.70","14163.16","1781805771629","0x6fe6c50e9739f3ec9f319c15d99b69bf1a986466f2ad035b006f6343b0fe7078","68.48000000",,,""
"7","2026-06-18T18:03:29.0435694+00:00","BTC","btc-updown-5m-1781805300","2584774","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-509.044","509.044","-209.044","Up","100366993284555439229136263731142874057115468471011666953870421192847222766172",,,,,,"0","0",,,,,"","","62654.00000000","62631.60000000","3.5764693860607105678283810000","The remote server returned an error: (404) Not Found."
"7","2026-06-18T18:03:29.0435694+00:00","BTC","btc-updown-5m-1781805300","2584774","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-509.044","509.044","-209.044","Down","30945358799682125975622752445436537816479585992099959750063279707586060979279",,,,,,"0","0",,,,,"","","62654.00000000","62631.60000000","3.5764693860607105678283810000","The remote server returned an error: (404) Not Found."
"7","2026-06-18T18:03:29.0435694+00:00","ETH","eth-updown-5m-1781805300","2584775","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-509.044","509.044","-209.044","Up","84464230807213236425016885238522598164473602253759355671732117397567158540848",,,,,,"0","0",,,,,"","","1679.45000000","1679.79000000","-2.0240625316259770566558920000","The remote server returned an error: (404) Not Found."
"7","2026-06-18T18:03:29.0435694+00:00","ETH","eth-updown-5m-1781805300","2584775","2026-06-18T17:55:00.0000000+00:00","2026-06-18T18:00:00.0000000+00:00","-509.044","509.044","-209.044","Down","36868621506353927085332735174569787095878720872195622300005980530115725386975",,,,,,"0","0",,,,,"","","1679.45000000","1679.79000000","-2.0240625316259770566558920000","The remote server returned an error: (404) Not Found."
