sampled_at_utc,seconds_after_start,strategy_code,outcome,action,best_ask,previous_max_best_ask,current_max_best_ask,maker_limit_price,places_order,order_sequence,reason
"2026-05-21T15:36:28.2332950+00:00",88.2332952,"btc_up_down_5m_up_maker","Up","between_slots",0.71,0.76,0.76,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:33.4863720+00:00",93.4863727,"btc_up_down_5m_down_maker","Down","place_order",0.48,0.35,0.48,0.47,"true",1,"new_high_at_30s_slot"
"2026-05-21T15:36:33.4863720+00:00",93.4863727,"btc_up_down_5m_up_maker","Up","no_order",0.53,0.76,0.76,,"false",2,"below_or_equal_previous_max_at_30s_slot"
"2026-05-21T15:36:38.8215430+00:00",98.8215437,"btc_up_down_5m_down_maker","Down","between_slots",0.57,0.48,0.48,,"false",1,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:38.8215430+00:00",98.8215437,"btc_up_down_5m_up_maker","Up","between_slots",0.45,0.76,0.76,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:44.2512550+00:00",104.2512558,"btc_up_down_5m_down_maker","Down","between_slots",0.56,0.48,0.48,,"false",1,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:44.2512550+00:00",104.2512558,"btc_up_down_5m_up_maker","Up","between_slots",0.45,0.76,0.76,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:49.6080380+00:00",109.6080388,"btc_up_down_5m_down_maker","Down","between_slots",0.59,0.48,0.48,,"false",1,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:49.6080380+00:00",109.6080388,"btc_up_down_5m_up_maker","Up","between_slots",0.42,0.76,0.76,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:54.8730200+00:00",114.8730201,"btc_up_down_5m_down_maker","Down","between_slots",0.63,0.48,0.48,,"false",1,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:36:54.8730200+00:00",114.8730201,"btc_up_down_5m_up_maker","Up","between_slots",0.38,0.76,0.76,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:37:00.1444870+00:00",120.1444876,"btc_up_down_5m_down_maker","Down","place_order",0.64,0.48,0.64,0.63,"true",2,"new_high_at_30s_slot"
"2026-05-21T15:37:00.1444870+00:00",120.1444876,"btc_up_down_5m_up_maker","Up","no_order",0.38,0.76,0.76,,"false",2,"below_or_equal_previous_max_at_30s_slot"
"2026-05-21T15:37:05.3442650+00:00",125.344265,"btc_up_down_5m_down_maker","Down","between_slots",0.69,0.64,0.64,,"false",2,"waiting_for_next_30s_slot_no_max_update"
"2026-05-21T15:37:05.3442650+00:00",125.344265,"btc_up_down_5m_up_maker","Up","between_slots",0.33,0.76,0.76,,"false",2,"waiting_for_next_30s_slot_no_max_update"
