"group","slot_start_utc","phase","asset","outcome","slug","market_id","condition_id","token_id","checkpoint_status","formula_limit_price","accepted_hypothetically","accepted_limit_price","accepted_attempt","terminal_reason","target_utc","formula_request_started_utc","formula_response_received_utc","formula_request_offset_from_target_ms","formula_best_bid","formula_best_ask","tick_size","formula_book_age_ms","accepted_at_utc","accepted_request_started_utc","accepted_request_offset_from_target_ms","identity_note"
"T_MINUS_30","2026-08-09T16:20:00.0000000Z","start_minus_30s","BTC","Down","btc-updown-5m-1786292400","3422259","0xfbeacada0047c0476e005f2b9352acf8e2d5a6d9fe0dd0ece68585baa86e164f","39073890412275717613825886840292231509639997006566313299785948474505855370342","FORMULA_ONLY_S0_NOT_CURRENT","0.50","false",,,"maker_gtd_s0_book_not_current","2026-08-09T16:19:30.0000000Z","2026-08-09T16:19:30.0018977Z","2026-08-09T16:19:30.1309011Z","1.8977","0.50","0.51","0.01","2238.9011",,,,"Formula candidate existed, but the local freshness/S0 gate did not pass; not a venue rejection."
"T_MINUS_30","2026-08-09T16:20:00.0000000Z","start_minus_30s","ETH","Up","eth-updown-5m-1786292400","3422258","0xede5e3511bc9cc2deacf19e67739df96531b4331fc29582f73a27daed85d0917","64867738191455664054319583024400123971766429361728141470988596986066713766220","ACCEPTED_HYPOTHETICALLY","0.49","true","0.49","7","paper_post_only_accepted_resting","2026-08-09T16:19:30.0000000Z","2026-08-09T16:19:30.0019274Z","2026-08-09T16:19:30.1309325Z","1.9274","0.49","0.50","0.01","2835.9325","2026-08-09T16:19:30.6798147Z","2026-08-09T16:19:30.5220482Z","522.0482","Accepted by the read-only S0/S1 paper gate; not a venue submission."
"T_MINUS_30","2026-08-09T16:20:00.0000000Z","start_minus_30s","ETH","Down","eth-updown-5m-1786292400","3422258","0xede5e3511bc9cc2deacf19e67739df96531b4331fc29582f73a27daed85d0917","4794509048175190531031578776862229066304138546285997712338792901233806165698","ACCEPTED_HYPOTHETICALLY","0.50","true","0.50","7","paper_post_only_accepted_resting","2026-08-09T16:19:30.0000000Z","2026-08-09T16:19:30.0019432Z","2026-08-09T16:19:30.1307758Z","1.9432","0.50","0.51","0.01","2835.7758","2026-08-09T16:19:30.7044907Z","2026-08-09T16:19:30.5460341Z","546.0341","Accepted by the read-only S0/S1 paper gate; not a venue submission."
"T_MINUS_30","2026-08-09T16:20:00.0000000Z","start_minus_30s","SOL","Up","sol-updown-5m-1786292400","3422253","0x17c33af171a34c4b635e8b1fb0e95c13cccd82887ebd34133b9f01f3f74cfa4a","55086063731591607694887977658013336104928322712871043350909028873560425688459","ACCEPTED_HYPOTHETICALLY","0.48","true","0.48","1","paper_post_only_accepted_resting","2026-08-09T16:19:30.0000000Z","2026-08-09T16:19:30.0019547Z","2026-08-09T16:19:30.1351588Z","1.9547","0.48","0.49","0.01","1200.1588","2026-08-09T16:19:30.2139748Z","2026-08-09T16:19:30.0019547Z","1.9547","Accepted by the read-only S0/S1 paper gate; not a venue submission."
"T_MINUS_30","2026-08-09T16:20:00.0000000Z","start_minus_30s","SOL","Down","sol-updown-5m-1786292400","3422253","0x17c33af171a34c4b635e8b1fb0e95c13cccd82887ebd34133b9f01f3f74cfa4a","37960654001588029172928693303975253329924041980876471887120135772201782372313","ACCEPTED_HYPOTHETICALLY","0.51","true","0.51","1","paper_post_only_accepted_resting","2026-08-09T16:19:30.0000000Z","2026-08-09T16:19:30.0019693Z","2026-08-09T16:19:30.1286671Z","1.9693","0.51","0.52","0.01","1193.6671","2026-08-09T16:19:30.1999870Z","2026-08-09T16:19:30.0019693Z","1.9693","Accepted by the read-only S0/S1 paper gate; not a venue submission."
"T_MINUS_30","2026-08-09T16:25:00.0000000Z","start_minus_30s","BTC","Up","btc-updown-5m-1786292700","3422302","0x8e359f8bf58b72009b9ad8e1e303f7039d54c89bddfe011a1cb60564a72b18cd","73659460862160426127858069585618646219323383531975376120222069665964467547635","ACCEPTED_HYPOTHETICALLY","0.49","true","0.49","5","paper_post_only_accepted_resting","2026-08-09T16:24:30.0000000Z","2026-08-09T16:24:30.0066472Z","2026-08-09T16:24:30.1487424Z","6.6472","0.49","0.50","0.01","2481.7424","2026-08-09T16:24:30.4926653Z","2026-08-09T16:24:30.3547973Z","354.7973","Accepted by the read-only S0/S1 paper gate; not a venue submission."
"T_MINUS_30","2026-08-09T16:25:00.0000000Z","start_minus_30s","BTC","Down","btc-updown-5m-1786292700","3422302","0x8e359f8bf58b72009b9ad8e1e303f7039d54c89bddfe011a1cb60564a72b18cd","80901081083708748663644230839196098963375493322685706783818474852068279856132","ACCEPTED_HYPOTHETICALLY","0.50","true","0.50","5","paper_post_only_accepted_resting","2026-08-09T16:24:30.0000000Z","2026-08-09T16:24:30.0092585Z","2026-08-09T16:24:30.1384550Z","9.2585","0.50","0.51","0.01","2471.4550","2026-08-09T16:24:30.4960807Z","2026-08-09T16:24:30.3508252Z","350.8252","Accepted by the read-only S0/S1 paper gate; not a venue submission."
"T_MINUS_30","2026-08-09T16:25:00.0000000Z","start_minus_30s","ETH","Up","eth-updown-5m-1786292700","3422299","0xd24ccd85a03539df43472f212f1b95150d802043c2fb62bd140f3b253501104b","74323899201409035286897405439867605048322732176937344495311639190983542534702","ACCEPTED_HYPOTHETICALLY","0.51","true","0.51","1","paper_post_only_accepted_resting","2026-08-09T16:24:30.0000000Z","2026-08-09T16:24:30.0093042Z","2026-08-09T16:24:30.1364045Z","9.3042","0.51","0.52","0.01","1049.4045","2026-08-09T16:24:30.2079279Z","2026-08-09T16:24:30.0093042Z","9.3042","Accepted by the read-only S0/S1 paper gate; not a venue submission."
"T_MINUS_30","2026-08-09T16:25:00.0000000Z","start_minus_30s","ETH","Down","eth-updown-5m-1786292700","3422299","0xd24ccd85a03539df43472f212f1b95150d802043c2fb62bd140f3b253501104b","75557958975739038400377199947250666614480843767735678835393280706573069215736","ACCEPTED_HYPOTHETICALLY","0.48","true","0.48","1","paper_post_only_accepted_resting","2026-08-09T16:24:30.0000000Z","2026-08-09T16:24:30.0093134Z","2026-08-09T16:24:30.1370039Z","9.3134","0.48","0.49","0.01","1050.0039","2026-08-09T16:24:30.2090577Z","2026-08-09T16:24:30.0093134Z","9.3134","Accepted by the read-only S0/S1 paper gate; not a venue submission."
"T_MINUS_30","2026-08-09T16:25:00.0000000Z","start_minus_30s","SOL","Up","sol-updown-5m-1786292700","3422305","0xf40ec37e557b2d4648e0e141bed0f2e74d6f556d52f17f9f460b0defba3324d7","74946115414137957071265369318837944737986993455767530926857586918332544911465","ACCEPTED_HYPOTHETICALLY","0.49","true","0.49","1","paper_post_only_accepted_resting","2026-08-09T16:24:30.0000000Z","2026-08-09T16:24:30.0093457Z","2026-08-09T16:24:30.1385265Z","9.3457","0.49","0.50","0.01","1051.5265","2026-08-09T16:24:30.2060422Z","2026-08-09T16:24:30.0093457Z","9.3457","Accepted by the read-only S0/S1 paper gate; not a venue submission."
