asset,strategy_name,trigger_side,target_outcome,threshold,markets_evaluated,betting_episodes,entries,settled_entries,flat_entries,wins,losses,win_rate_pct,total_stake_units,settled_stake_units,pnl_units,roi_pct,avg_stake_units,max_multiplier,capped_entries,max_drawdown_units,active_days,positive_days,negative_days,flat_days,first_entry_utc,last_entry_utc
"BTC","BTC Up or Down 5m 38 Diff Down Progress","Down","Up",38,52230,14,102,102,0,54,48,52.94117647,387,387,23,5.94315245,3.79411765,10,4,61,2,2,0,0,"2026-03-19T15:25:00.0000000+00:00","2026-06-02T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 37 Diff Down Progress","Down","Up",37,52230,11,126,126,0,64,62,50.79365079,505,505,23,4.55445545,4.00793651,10,8,72,2,2,0,0,"2026-03-19T14:30:00.0000000+00:00","2026-06-02T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 35 Diff Down Progress","Down","Up",35,52230,15,168,168,0,86,82,51.19047619,793,793,23,2.90037831,4.7202381,10,14,92,4,3,1,0,"2026-02-23T19:40:00.0000000+00:00","2026-06-05T23:40:00.0000000+00:00"
"BTC","BTC Up or Down 5m 42 Diff Up Progress","Up","Down",42,52230,4,38,38,0,21,17,55.26315789,99,99,21,21.21212121,2.60526316,5,0,9,1,1,0,0,"2026-04-17T20:05:00.0000000+00:00","2026-04-17T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 36 Diff Down Progress","Down","Up",36,52230,9,145,145,0,72,73,49.65517241,639,639,21,3.28638498,4.40689655,10,11,82,3,2,1,0,"2026-03-19T14:25:00.0000000+00:00","2026-06-05T23:35:00.0000000+00:00"
"BTC","BTC Up or Down 5m 39 Diff Down Progress","Down","Up",39,52230,12,77,77,0,41,36,53.24675325,289,289,19,6.57439446,3.75324675,10,1,51,2,2,0,0,"2026-03-19T15:30:00.0000000+00:00","2026-06-02T23:55:00.0000000+00:00"
"BTC","BTC Up or Down 5m 9 Diff Up Progress","Up","Down",9,52230,557,7808,7789,19,3920,3869,50.32738477,45586,45477,19,0.04177936,5.8383709,10,2019,602,84,63,21,0,"2025-12-29T04:00:00.0000000+00:00","2026-06-28T08:25:00.0000000+00:00"
"BTC","BTC Up or Down 5m 25 Diff Up Progress","Up","Down",25,52230,51,824,823,1,403,420,48.9671932,4644,4634,18,0.38843332,5.63592233,10,160,236,17,12,5,0,"2025-12-30T10:00:00.0000000+00:00","2026-06-13T22:50:00.0000000+00:00"
"BTC","BTC Up or Down 5m 43 Diff Up Progress","Up","Down",43,52230,4,30,30,0,17,13,56.66666667,61,61,17,27.86885246,2.03333333,4,0,6,1,1,0,0,"2026-04-17T20:10:00.0000000+00:00","2026-04-17T23:50:00.0000000+00:00"
"BTC","BTC Up or Down 5m 40 Diff Down Progress","Down","Up",40,52230,8,58,58,0,30,28,51.72413793,213,213,15,7.04225352,3.67241379,10,0,41,1,1,0,0,"2026-06-02T15:35:00.0000000+00:00","2026-06-02T23:55:00.0000000+00:00"
