"asset_symbol","market_start_epoch","market_start_utc","market_start_sofia","up_count","down_count","diff","processed_market_count","service_started_at_utc","service_started_at_sofia","db_now_utc"
"ETH","1780957500","2026-06-08 22:25:00 UTC","2026-06-09 01:25","6","10","-4","16","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780957800","2026-06-08 22:30:00 UTC","2026-06-09 01:30","6","11","-5","17","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780958100","2026-06-08 22:35:00 UTC","2026-06-09 01:35","7","11","-4","18","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780958400","2026-06-08 22:40:00 UTC","2026-06-09 01:40","8","11","-3","19","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780958700","2026-06-08 22:45:00 UTC","2026-06-09 01:45","9","11","-2","20","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780959000","2026-06-08 22:50:00 UTC","2026-06-09 01:50","10","11","-1","21","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780959300","2026-06-08 22:55:00 UTC","2026-06-09 01:55","11","11","0","22","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780959600","2026-06-08 23:00:00 UTC","2026-06-09 02:00","12","11","1","23","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780959900","2026-06-08 23:05:00 UTC","2026-06-09 02:05","13","11","2","24","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780960200","2026-06-08 23:10:00 UTC","2026-06-09 02:10","13","12","1","25","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780960500","2026-06-08 23:15:00 UTC","2026-06-09 02:15","13","13","0","26","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780960800","2026-06-08 23:20:00 UTC","2026-06-09 02:20","14","13","1","27","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780961100","2026-06-08 23:25:00 UTC","2026-06-09 02:25","14","14","0","28","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780961400","2026-06-08 23:30:00 UTC","2026-06-09 02:30","14","15","-1","29","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780961700","2026-06-08 23:35:00 UTC","2026-06-09 02:35","15","15","0","30","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780962000","2026-06-08 23:40:00 UTC","2026-06-09 02:40","15","16","-1","31","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780962300","2026-06-08 23:45:00 UTC","2026-06-09 02:45","15","17","-2","32","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780962600","2026-06-08 23:50:00 UTC","2026-06-09 02:50","15","18","-3","33","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780962900","2026-06-08 23:55:00 UTC","2026-06-09 02:55","16","18","-2","34","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780963200","2026-06-09 00:00:00 UTC","2026-06-09 03:00","16","19","-3","35","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780963500","2026-06-09 00:05:00 UTC","2026-06-09 03:05","16","20","-4","36","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780963800","2026-06-09 00:10:00 UTC","2026-06-09 03:10","17","20","-3","37","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
"ETH","1780964100","2026-06-09 00:15:00 UTC","2026-06-09 03:15","18","20","-2","38","2026-06-08 21:11:10 UTC","2026-06-09 00:11:10","2026-06-09 06:08:00 UTC"
