offset_seconds,threshold_bps,entries,settled_trades,wins,losses,ties,win_rate_pct,roi_pct,pnl_units,wilson_lower_win_rate_pct,z_score,avg_prev_move_bps,avg_current_move_bps,trades_per_day,max_drawdown_units,longest_loss_streak,active_months,profitable_active_months,worst_month_roi_pct,best_month_roi_pct,suitability
15,27,2416,2413,1324,1089,3,54.8695,9.7268,235,52.8777,4.784,46.8354,0.3235,13.2747,16,7,7,7,6.5693,23.8806,"research_candidate"
15,28,2264,2261,1248,1013,3,55.1968,10.3799,235,53.1399,4.9422,48.1339,0.1433,12.4396,15,7,7,7,8.3665,29.5082,"research_candidate"
15,29,2125,2123,1173,950,2,55.252,10.4941,223,53.1293,4.8398,49.4208,0.1969,11.6758,14,8,7,7,8.3333,25,"research_candidate"
15,30,1981,1980,1110,870,1,56.0606,12.1151,240,53.8648,5.3936,50.8685,-0.0588,10.8846,12,7,7,7,8.1081,25.9259,"research_candidate"
15,31,1830,1829,1024,805,1,55.9869,11.9672,219,53.7017,5.1208,52.5493,-0.1019,10.0549,14,8,7,7,9.0909,26.5306,"research_candidate"
15,32,1723,1722,961,761,1,55.8072,11.6077,200,53.4512,4.8196,53.8573,0.0859,9.467,13,7,7,7,5.4945,25,"research_candidate"
15,33,1601,1600,886,714,1,55.375,10.7433,172,52.9292,4.3,55.4866,0.2536,8.7967,15,7,7,6,0,22.7273,"research_candidate"
15,34,1515,1514,839,675,1,55.4161,10.8251,164,52.9017,4.2148,56.7388,0.4439,8.3242,15,8,7,7,3.0303,29.7297,"research_candidate"
15,35,1432,1431,795,636,1,55.5556,11.1034,159,52.9695,4.2032,58.0285,0.4884,7.8681,16,8,7,7,4.7619,33.3333,"research_candidate"
15,36,1358,1357,754,603,1,55.5637,11.1193,151,52.9079,4.0991,59.2548,0.6107,7.4615,17,8,7,7,7.0588,40,"research_candidate"
15,37,1279,1278,712,566,1,55.7121,11.4152,146,52.9756,4.084,60.6594,0.4304,7.0275,16,8,7,7,6.3291,28,"research_candidate"
15,38,1206,1205,667,538,1,55.3527,10.6965,129,52.5332,3.7162,62.0608,0.429,6.6264,17,8,7,7,6.1224,18.1818,"research_candidate"
15,39,1138,1137,630,507,1,55.409,10.8084,123,52.5063,3.6477,63.4658,0.6995,6.2527,15,8,7,6,0,18.1818,"research_candidate"
15,40,1079,1078,593,485,1,55.0093,10.0093,108,52.0269,3.2894,64.7776,0.8378,5.9286,18,8,7,6,-7.3171,14.2857,"research_candidate"
15,41,1030,1029,564,465,1,54.8105,9.6117,99,51.7573,3.0862,65.9321,0.996,5.6593,17,8,7,6,-8.1081,14.1104,"research_candidate"
15,42,989,988,547,441,1,55.3644,10.7179,106,52.2497,3.3723,66.9455,0.9619,5.4341,17,7,7,6,-5.5556,14.2857,"research_candidate"
15,43,933,932,519,413,1,55.6867,11.3612,106,52.4806,3.4721,68.4096,0.5412,5.1264,18,8,7,6,-3.0303,14.2857,"research_candidate"
15,44,892,891,496,395,1,55.6678,11.3229,101,52.3884,3.3836,69.5557,0.5024,4.9011,18,8,6,5,0,17.6471,"research_candidate"
15,45,858,857,476,381,1,55.5426,11.0723,95,52.1982,3.2451,70.5513,0.4601,4.7143,18,8,6,6,3.2258,19.3798,"research_candidate"
15,46,814,813,444,369,1,54.6125,9.2138,75,51.1765,2.6304,71.907,1.0799,4.4725,18,8,6,5,-3.4483,17.0732,"research_candidate"
15,47,768,767,423,344,1,55.1499,10.2865,79,51.6132,2.8525,73.4306,0.6912,4.2198,18,8,6,6,3.7037,16.2393,"research_candidate"
15,48,729,728,401,327,1,55.0824,10.1509,74,51.4518,2.7426,74.82,0.9385,4.0055,18,8,6,6,7.2165,16.6667,"research_candidate"
15,49,704,703,388,315,1,55.192,10.3693,73,51.4976,2.7532,75.7555,0.6504,3.8681,17,8,6,6,6.3492,16.9811,"research_candidate"
