asset_symbol,market_start_utc,sampled_at_utc,counter_start_market_start_utc,up_count,down_count,diff,diff_count,processed_market_count,counter_initialized,history_fetch_failed
"BTC","2026-06-09T05:15:00Z","2026-06-09T05:24:55Z","2026-06-08T21:10:00Z",49,49,0,-139,98,true,false
"ETH","2026-06-09T05:15:00Z","2026-06-09T05:24:55Z","2026-06-08T21:10:00Z",49,49,0,-175,98,true,false
"SOL","2026-06-09T05:15:00Z","2026-06-09T05:24:55Z","2026-06-08T21:10:00Z",53,45,8,-57,98,true,false
"BTC","2026-06-09T05:20:00Z","2026-06-09T05:29:55Z","2026-06-08T21:10:00Z",50,49,1,-138,99,true,false
"ETH","2026-06-09T05:20:00Z","2026-06-09T05:29:55Z","2026-06-08T21:10:00Z",49,50,-1,-176,99,true,false
"SOL","2026-06-09T05:20:00Z","2026-06-09T05:29:55Z","2026-06-08T21:10:00Z",54,45,9,-48,99,true,false
"BTC","2026-06-09T05:25:00Z","2026-06-09T05:34:59Z","2026-06-08T21:10:00Z",50,50,0,-138,100,true,false
"ETH","2026-06-09T05:25:00Z","2026-06-09T05:34:59Z","2026-06-08T21:10:00Z",49,51,-2,-178,100,true,false
"SOL","2026-06-09T05:25:00Z","2026-06-09T05:34:59Z","2026-06-08T21:10:00Z",54,46,8,-40,100,true,false
"BTC","2026-06-09T05:30:00Z","2026-06-09T05:39:53Z","2026-06-08T21:10:00Z",51,50,1,-137,101,true,false
"ETH","2026-06-09T05:30:00Z","2026-06-09T05:39:53Z","2026-06-08T21:10:00Z",50,51,-1,-179,101,true,false
"SOL","2026-06-09T05:30:00Z","2026-06-09T05:39:53Z","2026-06-08T21:10:00Z",55,46,9,-31,101,true,false
"BTC","2026-06-09T05:35:00Z","2026-06-09T05:44:56Z","2026-06-08T21:10:00Z",51,51,0,-137,102,true,false
"ETH","2026-06-09T05:35:00Z","2026-06-09T05:44:56Z","2026-06-08T21:10:00Z",50,52,-2,-181,102,true,false
"SOL","2026-06-09T05:35:00Z","2026-06-09T05:44:56Z","2026-06-08T21:10:00Z",55,47,8,-23,102,true,false
"BTC","2026-06-09T05:40:00Z","2026-06-09T05:49:51Z","2026-06-08T21:10:00Z",51,52,-1,-138,103,true,false
"ETH","2026-06-09T05:40:00Z","2026-06-09T05:49:51Z","2026-06-08T21:10:00Z",50,53,-3,-184,103,true,false
"SOL","2026-06-09T05:40:00Z","2026-06-09T05:49:51Z","2026-06-08T21:10:00Z",55,48,7,-16,103,true,false
