asset_symbol	market_start_utc	sampled_at_utc	counter_start_market_start_utc	up_count	down_count	diff	diff_count	processed_market_count	counter_initialized	last_included_market_start_utc	high_water_market_start_utc	history_fetch_failed
SOL	2026-06-09T03:30:00Z	2026-06-09T03:39:58.978Z	2026-06-08T21:10:00Z	41	36	5	-209	77	True	2026-06-09T03:30:00Z	2026-06-09T03:30:00Z	False
BTC	2026-06-09T03:35:00Z	2026-06-09T03:44:56.694Z	2026-06-08T21:10:00Z	39	39	0	-137	78	True	2026-06-09T03:35:00Z	2026-06-09T03:35:00Z	False
ETH	2026-06-09T03:35:00Z	2026-06-09T03:44:56.694Z	2026-06-08T21:10:00Z	39	39	0	-173	78	True	2026-06-09T03:35:00Z	2026-06-09T03:35:00Z	False
SOL	2026-06-09T03:35:00Z	2026-06-09T03:44:56.694Z	2026-06-08T21:10:00Z	42	36	6	-203	78	True	2026-06-09T03:35:00Z	2026-06-09T03:35:00Z	False
BTC	2026-06-09T03:40:00Z	2026-06-09T03:49:58.293Z	2026-06-08T21:10:00Z	40	39	1	-136	79	True	2026-06-09T03:40:00Z	2026-06-09T03:40:00Z	False
ETH	2026-06-09T03:40:00Z	2026-06-09T03:49:58.293Z	2026-06-08T21:10:00Z	40	39	1	-172	79	True	2026-06-09T03:40:00Z	2026-06-09T03:40:00Z	False
SOL	2026-06-09T03:40:00Z	2026-06-09T03:49:58.293Z	2026-06-08T21:10:00Z	43	36	7	-196	79	True	2026-06-09T03:40:00Z	2026-06-09T03:40:00Z	False
BTC	2026-06-09T03:45:00Z	2026-06-09T03:54:57.551Z	2026-06-08T21:10:00Z	41	39	2	-134	80	True	2026-06-09T03:45:00Z	2026-06-09T03:45:00Z	False
ETH	2026-06-09T03:45:00Z	2026-06-09T03:54:57.551Z	2026-06-08T21:10:00Z	41	39	2	-170	80	True	2026-06-09T03:45:00Z	2026-06-09T03:45:00Z	False
SOL	2026-06-09T03:45:00Z	2026-06-09T03:54:57.551Z	2026-06-08T21:10:00Z	44	36	8	-188	80	True	2026-06-09T03:45:00Z	2026-06-09T03:45:00Z	False
BTC	2026-06-09T03:50:00Z	2026-06-09T03:59:58.390Z	2026-06-08T21:10:00Z	41	40	1	-133	81	True	2026-06-09T03:50:00Z	2026-06-09T03:50:00Z	False
